DEG siMITFvs.siCTRL-501Mel,,,,,,,,,,,,,,,,,,,,
target_id,ensembl_gene_id,gene_symbol,gene_name,target_id2,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,Beta estimate,tpm_control,tpm_siMITF,Ratio,log2
ENST00000237500.9,ENSG00000118680,MYL12B,myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827],protein_coding,7.04E-10,1.73E-05,38.01041811,6.81720066,1,8.202676814,1.363440132,0.000506872,1.36293326,0.01924941,1.36293326,-2.131251466,142.1290349,16.75806321,0.117700357,-3.086809401
ENST00000367609.7,ENSG00000112414,ADGRG6,adhesion G protein-coupled receptor G6 [Source:HGNC Symbol;Acc:HGNC:13841],protein_coding,2.45E-10,1.73E-05,40.07046796,131.325698,1,3.984192422,26.26513959,0.010096828,26.25504276,0.085374052,26.25504276,-9.354679048,11.21652979,7.55E-11,6.59E-12,-37.14347196
ENST00000434579.6,ENSG00000226869,LHFPL3-AS1,LHFPL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40341],antisense,7.02E-10,1.73E-05,38.01516005,14.59621926,1,7.393089073,2.919243852,0.00337516,2.915868692,0.025354555,2.915868692,-3.11839876,126.879761,5.56905692,0.043806083,-4.512724955
ENST00000394351.8,ENSG00000187098,MITF,melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105],protein_coding,1.03E-09,1.75E-05,37.27659152,5.589304384,1,9.416119441,1.117860877,0.000334529,1.117526348,0.0136161,1.117526348,-1.928672039,97.68941815,14.14879173,0.144464731,-2.791210769
ENST00000366592.8,ENSG00000077585,GPR137B,G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862],protein_coding,5.22E-09,1.79E-05,34.10603936,3.143276502,1,8.45022482,0.6286553,0.000388235,0.628267065,0.017810335,0.628267065,-1.446759731,69.4219388,16.26015573,0.233381703,-2.099236635
ENST00000340342.10,ENSG00000135047,CTSL,cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537],protein_coding,3.88E-09,1.79E-05,34.68422843,3.544020698,1,8.947341621,0.70880414,0.000319473,0.708484667,0.015398882,0.708484667,-1.535423673,179.5673396,38.55727441,0.214424674,-2.221457168
ENST00000371933.8,ENSG00000159658,EFCAB14,EF-hand calcium binding domain 14 [Source:HGNC Symbol;Acc:HGNC:29051],protein_coding,5.10E-09,1.79E-05,34.14957355,2.914399281,1,8.90624751,0.582879856,0.000153435,0.582726421,0.015576403,0.582726421,-1.392452138,34.13546946,8.455483783,0.245902816,-2.023839836
ENST00000374279.4,ENSG00000148154,UGCG,UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524],protein_coding,3.05E-09,1.79E-05,35.15246999,2.993039767,1,9.525875334,0.598607953,0.000104631,0.598503322,0.013257709,0.598503322,-1.41115736,96.03639639,23.36817799,0.242694491,-2.042786733
ENST00000053468.4,ENSG00000048544,MRPS10,mitochondrial ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:14502],protein_coding,5.19E-09,1.79E-05,34.1167658,5.542161603,1,7.855245735,1.108432321,0.000568089,1.107864232,0.021583095,1.107864232,-1.919763103,46.82399856,6.842702669,0.145360557,-2.782292238
ENST00000409458.3,ENSG00000136235,GPNMB,glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462],protein_coding,3.93E-09,1.79E-05,34.65747969,6.778268831,1,8.624786988,1.355653766,0.000370649,1.355283117,0.016895257,1.355283117,-2.12264111,145.394894,17.35058075,0.119129344,-3.069399267
ENST00000341459.7,ENSG00000188467,SLC24A5,solute carrier family 24 member 5 [Source:HGNC Symbol;Acc:HGNC:20611],protein_coding,4.42E-09,1.79E-05,34.42751021,2.315328414,1,9.329906393,0.463065683,0.000148691,0.462916992,0.013912488,0.462916992,-1.241636247,163.4341585,47.04162887,0.287392679,-1.798904782
ENST00000380420.10,ENSG00000087842,PIR,pirin [Source:HGNC Symbol;Acc:HGNC:30048],protein_coding,5.16E-09,1.79E-05,34.12936284,3.190008787,1,8.536978389,0.638001757,0.000271436,0.637730321,0.017345757,0.637730321,-1.457125198,132.8530848,30.74988361,0.231023072,-2.113891153
ENST00000324453.13,ENSG00000180354,MTURN,"maturin, neural progenitor differentiation regulator homolog [Source:HGNC Symbol;Acc:HGNC:25457]",protein_coding,3.79E-09,1.79E-05,34.7296755,4.676673582,1,8.374723521,0.935334716,0.000364086,0.934970631,0.018231015,0.934970631,-1.763698156,24.35888596,4.166500739,0.169308791,-2.562271208
ENST00000449260.6,ENSG00000185664,PMEL,premelanosome protein [Source:HGNC Symbol;Acc:HGNC:10880],protein_coding,2.62E-09,1.79E-05,35.44535532,4.29144732,1,10.58651563,0.858289464,0.000376889,0.857912575,0.010725792,0.857912575,-1.689264211,630.8946871,116.1257627,0.1839923,-2.442282702
ENST00000369535.5,ENSG00000213281,NRAS,"NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]",protein_coding,2.63E-09,1.79E-05,35.43981103,2.325738722,1,9.386291787,0.465147744,8.89E-05,0.465058826,0.013717135,0.465058826,-1.245031108,69.93552687,20.05701468,0.285771377,-1.807066671
ENST00000254301.14,ENSG00000131981,LGALS3,galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563],protein_coding,5.57E-09,1.79E-05,33.97811811,3.910885065,1,9.046634443,0.782177013,0.000200293,0.78197672,0.014984826,0.78197672,-1.612062979,346.3642969,68.75334393,0.198356919,-2.333829375
ENST00000269346.9,ENSG00000141540,TTYH2,tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877],protein_coding,5.31E-09,1.79E-05,34.07297734,3.733453701,1,8.518487443,0.74669074,0.000384419,0.746306321,0.017443129,0.746306321,-1.575818978,44.40249798,9.144301067,0.204788119,-2.287796077
ENST00000650405.1,ENSG00000249937,LINC02223,long intergenic non-protein coding RNA 2223 [Source:HGNC Symbol;Acc:HGNC:53092],lincRNA,1.90E-09,1.79E-05,36.07542542,17.45321641,1,6.927906852,3.490643281,0.004415791,3.48622749,0.029962372,3.48622749,-3.408071369,16.36402801,0.538930851,0.032438302,-4.946157905
ENST00000374586.8,ENSG00000106771,TMEM245,transmembrane protein 245 [Source:HGNC Symbol;Acc:HGNC:1363],protein_coding,7.29E-09,1.89E-05,33.45683089,2.376481938,1,8.840808544,0.475296388,0.000224083,0.475072305,0.01586675,0.475072305,-1.257775265,21.44029713,6.077325442,0.280186362,-1.835541361
