,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,+/-(-log10),signature
MAD2L1BP,1911.237204,1.001076496,0.325504254,3.075463633,0.002101756,0.022158458,1.654460468,proliferative
TXN2,3062.019773,1.001673544,0.320156493,3.128699761,0.001755816,0.019144557,1.71795468,proliferative
ADAM10,6915.000467,1.018984002,0.368678243,2.763884286,0.005711779,0.049133158,1.308625317,proliferative
NAGA,2656.278131,1.025851244,0.326784382,3.139229724,0.001693926,0.018534771,1.73201278,proliferative
ACO2,5653.805777,1.045096301,0.350035468,2.985686875,0.002829422,0.028385565,1.546902452,proliferative
MT-CO1,288632.8661,1.06841223,0.334442362,3.194607955,0.001400209,0.015836759,1.800333679,proliferative
TRUB1,1432.63348,1.076704058,0.329846154,3.264261373,0.001097499,0.012881878,1.890020821,proliferative
HMGCR,2781.489052,1.079540327,0.358765674,3.009040178,0.002620745,0.026723425,1.573107885,proliferative
CCNC,1159.044272,1.101048179,0.334856448,3.288119985,0.001008588,0.012019899,1.920099191,proliferative
TANC1,6334.641794,1.109540665,0.382868089,2.897971124,0.003755852,0.03534083,1.451723255,proliferative
TRAK2,5500.552908,1.119227664,0.367805777,3.042985548,0.002342436,0.024304238,1.614317988,proliferative
RPLP1,49975.76851,1.119512318,0.353368105,3.168119313,0.001534285,0.017058289,1.768064523,proliferative
BCL2L13,5887.880366,1.127200133,0.388287109,2.90300684,0.003695986,0.034921377,1.456908644,proliferative
SGSM3,2904.314017,1.12741035,0.401575038,2.807471191,0.004993215,0.044143426,1.355133962,proliferative
KCP,120.4206575,1.134219289,0.337397283,3.361672862,0.000774718,0.00961053,2.017252676,proliferative
POPDC3,798.5425518,1.146395673,0.391931403,2.924990607,0.003444666,0.033089027,1.480316003,proliferative
TTL,4878.82754,1.150989833,0.309537372,3.718419609,0.000200473,0.003046308,2.516226136,proliferative
PTCD3,3704.498961,1.152779273,0.403057929,2.860083354,0.004235297,0.038794943,1.411224877,proliferative
ATE1,1368.114456,1.158552301,0.378794055,3.058528207,0.002224271,0.023272469,1.633157538,proliferative
LMBRD1,682.1944273,1.163771744,0.405727179,2.868360328,0.004126053,0.038018415,1.420005987,proliferative
RSAD1,2003.191325,1.164569447,0.407952265,2.854670871,0.004308145,0.039173549,1.407007076,proliferative
GGCT,1992.818996,1.165376894,0.390861997,2.981555901,0.002867877,0.028701859,1.542089971,proliferative
WDR11,3970.621844,1.171070367,0.403806197,2.900080228,0.003730672,0.035157125,1.453986646,proliferative
RHBDD3,1521.925501,1.181851247,0.374490692,3.15588951,0.001600095,0.0176891,1.752294266,proliferative
ATP6V1E1,7719.263016,1.183096225,0.409971324,2.885802384,0.003904172,0.036296829,1.44013132,proliferative
ABCC5,3477.041617,1.192861376,0.373727367,3.191795626,0.001413913,0.015948224,1.797287662,proliferative
TMEM33,4066.040253,1.194842357,0.397156276,3.008494211,0.002625458,0.026749544,1.57268362,proliferative
NDUFAF4,752.2694508,1.212349535,0.344903992,3.515034804,0.000439696,0.005973143,2.223797095,proliferative
TCTN3,2590.493051,1.213648565,0.420061005,2.889219781,0.00386199,0.036121439,1.442234962,proliferative
DDI2,2285.308122,1.214362284,0.400216123,3.034266274,0.002411215,0.02483132,1.605000189,proliferative
TAB3,2432.376321,1.223873845,0.33791053,3.621887261,0.000292462,0.004202656,2.376476154,proliferative
CD320,1949.995109,1.231887782,0.394413992,3.12333692,0.001788129,0.019361016,1.713071845,proliferative
MCOLN1,1366.572581,1.232138365,0.388736659,3.169596531,0.001526507,0.017002229,1.769494143,proliferative
PTEN,2254.043329,1.234021238,0.401722382,3.071825948,0.002127537,0.022377185,1.650194544,proliferative
CABIN1,3561.888573,1.236879545,0.273485764,4.522646905,6.11E-06,0.000144318,3.840679074,proliferative
GNPTG,2499.613642,1.238224717,0.373421572,3.315889627,0.000913519,0.011088907,1.955111242,proliferative
FBXO7,7035.592141,1.2437954,0.447217322,2.781187892,0.005416038,0.047110814,1.326879391,proliferative
CLN3,1414.756419,1.243989725,0.384157243,3.238230558,0.001202736,0.0139459,1.855553458,proliferative
USP6NL,1663.125961,1.249662763,0.432421799,2.8899162,0.003853445,0.036098032,1.442516479,proliferative
RP11-159F24.1,1255.255569,1.250004538,0.426503579,2.9308184,0.003380703,0.032594328,1.486857975,proliferative
DUSP22,1295.373503,1.258941835,0.345492503,3.643904932,0.000268533,0.003908502,2.407989659,proliferative
ESRRA,2134.16087,1.266327599,0.368695676,3.434614729,0.000593397,0.007691264,2.114002262,proliferative
CLUH,6513.722942,1.272594895,0.390394304,3.259768089,0.001115033,0.013050721,1.884365489,proliferative
PPA1,2985.166357,1.273863492,0.417083504,3.054216916,0.002256489,0.023513062,1.628690811,proliferative
LOH12CR1,470.9575242,1.28159057,0.454058942,2.822520274,0.004764781,0.042547577,1.371125169,proliferative
FASN,24545.90409,1.288937439,0.42911468,3.003713223,0.002667066,0.027006599,1.568530109,proliferative
MINPP1,1382.285024,1.291717947,0.357681888,3.611359675,0.000304596,0.004368824,2.359635447,proliferative
NPM3,2033.713403,1.305247124,0.408022708,3.198957066,0.001379257,0.015628227,1.806090279,proliferative
GGA2,4475.266772,1.312149602,0.361791089,3.626815707,0.000286938,0.004128054,2.384254644,proliferative
ZNF74,976.713397,1.315890034,0.470227301,2.798412664,0.005135446,0.045207924,1.34478544,proliferative
MOAP1,1855.286686,1.317191032,0.412879501,3.190255338,0.001421471,0.016004429,1.795759811,proliferative
TLE1,2549.471296,1.329500327,0.455530756,2.918574234,0.003516361,0.033570178,1.474046353,proliferative
ZNF706,3851.634797,1.336187031,0.331554082,4.030072627,5.58E-05,0.000994393,3.002441829,proliferative
FOXO4,602.0634582,1.337690268,0.456005733,2.933494405,0.003351697,0.032396262,1.489505096,proliferative
WDFY1,6198.694168,1.344407643,0.429163305,3.132624869,0.001732507,0.01894025,1.7226143,proliferative
DHTKD1,2019.574742,1.345077568,0.367254245,3.662524218,0.000249742,0.003660725,2.436432906,proliferative
CNNM3,930.1360864,1.347760689,0.473242975,2.8479254,0.004400524,0.039809688,1.400011226,proliferative
MMS19,3533.936678,1.358681599,0.345872527,3.928272677,8.56E-05,0.001440936,2.841355363,proliferative
PSEN2,2486.064354,1.363882645,0.448290161,3.042410393,0.002346917,0.024330422,1.613850359,proliferative
GBAS,2763.230578,1.364334411,0.427954548,3.188035779,0.001432428,0.016069568,1.793995796,proliferative
PCMT1,3424.651085,1.368000099,0.362662656,3.772100812,0.000161879,0.00251834,2.598885615,proliferative
FARP1,5261.578552,1.368211876,0.446996291,3.060902077,0.002206713,0.023108203,1.636233831,proliferative
FAM89A,843.9145106,1.375179272,0.493495989,2.786606785,0.005326307,0.046460345,1.332917573,proliferative
MSI2,6443.663924,1.375458628,0.476105658,2.888977696,0.003864965,0.036121439,1.442234962,proliferative
RPS12,35811.43985,1.382615873,0.496873034,2.782634151,0.005391957,0.047000017,1.327901984,proliferative
TSPAN3,9127.413259,1.384881055,0.352381823,3.930058151,8.49E-05,0.001434269,2.843369493,proliferative
ANKRD46,454.1904854,1.397342326,0.505953294,2.761801027,0.00574835,0.049413547,1.306153973,proliferative
DMXL2,2290.092669,1.40998307,0.493774231,2.855521777,0.004296618,0.039097333,1.407852866,proliferative
HS1BP3,2133.909763,1.413044476,0.286606649,4.930257131,8.21E-07,2.38E-05,4.623529534,proliferative
STX3,3870.247653,1.422520695,0.472896079,3.008104227,0.00262883,0.026759767,1.572517666,proliferative
SREBF2,9426.265254,1.428738604,0.341191679,4.187495447,2.82E-05,0.000555607,3.255232624,proliferative
TMEM64,1995.641855,1.434620816,0.449975705,3.188218382,0.001431524,0.016069568,1.793995796,proliferative
ABRACL,1115.411065,1.444667411,0.471578621,3.063470961,0.002187854,0.022949392,1.63922881,proliferative
SSH2,1164.376372,1.451245806,0.459673974,3.157119804,0.001593359,0.017651915,1.753208178,proliferative
SNHG16,3462.929635,1.451700056,0.286724682,5.063045314,4.13E-07,1.25E-05,4.901471205,proliferative
TOM1,2688.958979,1.459843097,0.495594238,2.945641787,0.003222854,0.031321404,1.504158785,proliferative
PPP2R5A,1995.334246,1.469114516,0.508695584,2.888003282,0.003876958,0.03615562,1.441824185,proliferative
DTNB,631.3253143,1.478316332,0.463349516,3.190499354,0.001420272,0.016004429,1.795759811,proliferative
MYLIP,1216.854365,1.47865747,0.522947408,2.827545269,0.004690638,0.041945945,1.377310018,proliferative
OSBPL1A,4207.359533,1.486977951,0.416311399,3.571792545,0.000354546,0.004946139,2.305733721,proliferative
MED15,9401.818362,1.489001374,0.35271412,4.22155307,2.43E-05,0.000486424,3.312985344,proliferative
FAM217B,1674.36234,1.493106208,0.466564541,3.200213641,0.001373258,0.015574445,1.807587432,proliferative
TRAF4,2861.974766,1.495451635,0.446048619,3.352665097,0.000800375,0.009899164,2.004401472,proliferative
DGCR6L,1480.009248,1.501369727,0.43371246,3.461670729,0.000536834,0.007091223,2.149278882,proliferative
SEC11C,3038.207802,1.512966473,0.477477308,3.168666759,0.001531399,0.017041438,1.768493772,proliferative
ZNF138,241.3626737,1.51662993,0.541162556,2.802540407,0.005070186,0.04469675,1.349724053,proliferative
PEBP1,13278.88386,1.516783044,0.425486131,3.5648237,0.000364101,0.005068055,2.295158644,proliferative
THEM6,576.1905018,1.517656398,0.43046928,3.525585839,0.000422547,0.005771716,2.238695021,proliferative
AGPAT6,7693.231278,1.518861235,0.477236679,3.182616303,0.001459509,0.016329159,1.787036195,proliferative
NECAB3,956.6398882,1.521700707,0.451927257,3.367136378,0.000759531,0.009440972,2.024983269,proliferative
TYRO3,2698.315934,1.540592233,0.542521696,2.839687782,0.004515771,0.040733695,1.390046198,proliferative
GYPC,7755.586224,1.542533976,0.46085691,3.347099596,0.000816619,0.01009003,1.996107557,proliferative
SRP14-AS1,208.056579,1.546528593,0.525811104,2.941224675,0.003269173,0.031721954,1.498640071,proliferative
NHLRC3,1426.798908,1.547971436,0.545614508,2.837115604,0.004552313,0.04097411,1.387490474,proliferative
ZFYVE27,2032.13401,1.554184783,0.359122526,4.327728477,1.51E-05,0.000323427,3.490223793,proliferative
GSTM4,831.8028539,1.564166348,0.545486367,2.867471019,0.004137667,0.038097186,1.419107107,proliferative
BIN3,2538.163461,1.56667128,0.543911836,2.880377254,0.003971996,0.036844708,1.433624887,proliferative
MYO10,20846.28842,1.567008487,0.527538963,2.970412798,0.002973998,0.029432164,1.531177802,proliferative
CTNNB1,34863.71106,1.568908126,0.472965026,3.317175774,0.000909324,0.011048774,1.956685906,proliferative
ATM,5370.676823,1.576246392,0.501047358,3.145903011,0.001655749,0.018201487,1.739893137,proliferative
SLC2A11,1139.637024,1.578704814,0.518168636,3.04670083,0.002313679,0.02406613,1.618593742,proliferative
TP53,2178.107581,1.579761721,0.572333915,2.760209869,0.005776424,0.04962056,1.304338337,proliferative
SNX30,3124.496034,1.59220534,0.361710404,4.401878744,1.07E-05,0.000237486,3.624362626,proliferative
DHX33,3542.71733,1.592565494,0.395483726,4.02687997,5.65E-05,0.001006543,2.997167793,proliferative
FNBP1L,2392.300235,1.61039658,0.572604155,2.812408127,0.004917207,0.043595493,1.360558409,proliferative
PPP1R3D,695.5899011,1.611315852,0.544969583,2.956707865,0.003109426,0.030433198,1.516652415,proliferative
PAX3,2057.988149,1.61913332,0.522012254,3.101715155,0.00192403,0.020546128,1.687270019,proliferative
MPC1,794.6860636,1.627844771,0.510390231,3.189412089,0.001425625,0.016036668,1.794885869,proliferative
FAM63B,1267.997412,1.632929114,0.52793214,3.093066305,0.001980999,0.02101008,1.677572294,proliferative
MOB1B,2618.353789,1.639999259,0.35911013,4.5668421,4.95E-06,0.000120204,3.920082496,proliferative
HPS1,3809.313443,1.644194754,0.396477366,4.147007864,3.37E-05,0.000648593,3.188028028,proliferative
PRMT7,2530.337388,1.646480791,0.569433055,2.891438734,0.003834824,0.035974986,1.443999365,proliferative
LINC00263,454.3599944,1.656007335,0.568215491,2.914400188,0.003563727,0.033918172,1.469567564,proliferative
EIF4EBP2,4452.803929,1.662255562,0.467615071,3.554751902,0.000378336,0.005240314,2.280642721,proliferative
ACSL3,11592.51584,1.664054463,0.540383281,3.079396646,0.002074203,0.021923764,1.659084882,proliferative
GM2A,3754.028236,1.671865884,0.596329686,2.803593252,0.005053662,0.044582692,1.35083371,proliferative
SFXN4,914.4683386,1.680566756,0.458850306,3.662559952,0.000249707,0.003660725,2.436432906,proliferative
CELSR2,2661.905468,1.685166528,0.482064764,3.495726411,0.000472773,0.006332511,2.198424023,proliferative
ATP1A1,63326.05823,1.69159832,0.371772881,4.550085296,5.36E-06,0.000128926,3.8896588,proliferative
TYSND1,1655.29038,1.691619572,0.441133935,3.834707419,0.000125714,0.002034666,2.691506971,proliferative
R3HCC1L,1291.941887,1.694899627,0.572845197,2.958739351,0.003089003,0.030280995,1.518829862,proliferative
RASSF3,4601.780809,1.696225418,0.38605461,4.393744756,1.11E-05,0.000245547,3.609865788,proliferative
AMDHD2,989.0666292,1.699694551,0.56140649,3.027564838,0.002465328,0.025263009,1.59751493,proliferative
IDI1,1670.839766,1.716240058,0.454851545,3.773187264,0.000161175,0.002513686,2.599688925,proliferative
RHOQ,4672.989707,1.7170788,0.492392774,3.487213648,0.000488081,0.006509496,2.18645263,proliferative
PACSIN2,12745.2163,1.7207196,0.555091941,3.099882153,0.001935977,0.020655956,1.684954707,proliferative
