DEG MITF-X6 vs EV-SkMEL28,,,,,,,,,,,,,
target_id,ens_gene,ext_gene,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,LogFC
ENST00000467482,ENSG00000101850,GPR143,2.04E-62,6.00E-59,-8.184615653,0.490870227,3.605836388,19.22879407,0.053855243,0.050426709,0.428051917,0.428051917,-11.80789647
ENST00000460393,ENSG00000196549,MME,2.61E-29,1.47E-26,-7.411606935,0.659418091,3.012656287,15.75073092,0.059037082,0.006176533,0.810627355,0.810627355,-10.69268138
ENST00000368043,ENSG00000026751,SLAMF7,1.21E-28,6.64E-26,-7.257694885,0.653637181,2.935700262,15.10136362,0.004001661,0.056210878,0.850481468,0.850481468,-10.47063338
ENST00000483392,ENSG00000080166,DCT,5.87E-19,1.48E-16,-7.136492425,0.802346646,3.677095612,15.65488142,0.188911589,1.098608691,0.388948891,1.098608691,-10.29577531
ENST00000312481,ENSG00000172752,COL6A5,3.34E-28,1.82E-25,-7.084906968,0.643374154,3.119135316,14.40543618,0.081313237,-0.006939936,0.746547369,0.746547369,-10.22135327
ENST00000171887,ENSG00000079308,TNS1,3.43E-30,2.06E-27,-6.822657407,0.597577991,3.930460868,13.91178595,0.256850077,0.457348833,0.278000147,0.457348833,-9.843007386
ENST00000559179,ENSG00000134160,TRPM1,9.20E-25,3.80E-22,-6.802081141,0.662048469,3.25860662,13.82034192,0.223344986,0.477617967,0.653271365,0.653271365,-9.813322129
ENST00000617515,ENSG00000274965,TRPM1,2.55E-22,8.47E-20,-6.778072598,0.697551128,3.378352396,13.96049531,0.233618224,0.739536929,0.571401378,0.739536929,-9.778685146
ENST00000372431,ENSG00000100979,PLTP,2.30E-22,7.66E-20,-6.728303489,0.69166046,2.671004564,12.94356206,0.004660622,0.006139166,0.952127761,0.952127761,-9.706883548
ENST00000615825,ENSG00000196549,MME,1.88E-19,5.00E-17,-6.662846338,0.738691415,3.206268639,13.02757477,0.402367173,-0.001370387,0.688962841,0.688962841,-9.612448904
ENST00000615583,ENSG00000274965,TRPM1,1.35E-21,4.19E-19,-6.646732395,0.696296085,2.630219017,12.64179455,0.005640985,0.016768813,0.964015492,0.964015492,-9.589201415
ENST00000560658,ENSG00000134160,TRPM1,1.28E-21,4.03E-19,-6.643614786,0.695590813,2.628660213,12.65748839,0.003237495,0.051293148,0.964455663,0.964455663,-9.584703659
ENST00000374272,ENSG00000158022,TRIM63,4.43E-37,3.90E-34,-6.577731955,0.517013867,3.970492459,12.82010792,0.116703228,0.417903451,0.26457685,0.417903451,-9.489654889
ENST00000447366,ENSG00000101850,GPR143,1.21E-19,3.27E-17,-6.422913864,0.708257912,2.518309751,11.86085094,0.009659025,0.076726233,0.993599516,0.993599516,-9.266299746
ENST00000222792,ENSG00000106069,CHN2,1.14E-19,3.11E-17,-6.312736253,0.695670708,2.922215115,11.78225453,0.110988726,0.351428558,0.856926741,0.856926741,-9.10734716
ENST00000400081,ENSG00000186297,GABRA5,7.71E-23,2.67E-20,-6.283045304,0.638643592,3.356971474,11.75431919,0.229842757,0.324643535,0.58588852,0.58588852,-9.064512204
ENST00000428161,ENSG00000069424,KCNAB2,1.47E-07,8.18E-06,-6.248361878,1.188626168,2.501248847,11.2546103,1.827815274,-1.711445308,0.997849062,0.997849062,-9.014474632
ENST00000519209,ENSG00000006747,SCIN,1.02E-16,2.07E-14,-6.172735787,0.743433839,2.766948455,11.14091372,0.184604437,0.112239205,0.92078331,0.92078331,-8.905369318
ENST00000264930,ENSG00000113504,SLC12A7,8.78E-18,2.02E-15,-6.138483104,0.714699272,2.567525082,10.83517318,0.04056248,0.040147952,0.981027618,0.981027618,-8.855953176
ENST00000331772,ENSG00000184719,RNLS,6.55E-18,1.53E-15,-6.136372944,0.711670447,2.68759175,10.94551623,0.0658788,0.15219917,0.947070852,0.947070852,-8.852908861
ENST00000367033,ENSG00000076356,PLXNA2,6.01E-24,2.27E-21,-6.090576296,0.603516565,3.233822939,11.16471594,0.058234364,0.602227692,0.670230126,0.670230126,-8.786838308
ENST00000349752,ENSG00000158089,GALNT14,6.46E-17,1.34E-14,-6.073403087,0.726779632,2.343554363,10.57242548,0.019595149,0.019492893,1.036822117,1.036822117,-8.762062621
ENST00000494110,ENSG00000115648,MLPH,2.29E-14,3.69E-12,-6.008987698,0.787200033,2.311346668,10.32450097,0.194149851,-0.18487644,1.045217933,1.045217933,-8.669130921
ENST00000415485,ENSG00000089169,RPH3A,9.96E-17,2.04E-14,-5.980580906,0.720098233,4.223959847,11.1081705,0.176493345,0.860589585,0.197713243,0.860589585,-8.62814861
ENST00000341757,ENSG00000006747,SCIN,8.02E-15,1.35E-12,-5.907707249,0.760585163,2.260706444,10.01711605,0.097840771,-0.044873694,1.05913881,1.05913881,-8.523014218
ENST00000361511,ENSG00000086717,PPEF1,4.98E-15,8.68E-13,-5.875221305,0.750604231,2.244463472,9.869943167,0.062987341,-0.054128773,1.063826081,1.063826081,-8.476146939
ENST00000310858,ENSG00000079308,TNS1,1.40E-15,2.53E-13,-5.856575537,0.733389949,2.235140588,9.809329018,0.00923275,0.00182543,1.066488883,1.066488883,-8.4492468
