HA-MITF-501Mel peaks associated genes,,,,,,,,,,,,,,,,,,
seqnames,start,end,width,strand,V4,V5,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,801494,802086,593,*,MACS_peak_1,66.45,Downstream (1-2kb),1,803451,812182,8732,2,284593,uc001abt.4,10096,ENSG00000230368,FAM41C,family with sequence similarity 41 member C
chr1,802206,802768,563,*,MACS_peak_2,187.54,Downstream (<1kb),1,803451,812182,8732,2,284593,uc001abt.4,9414,ENSG00000230368,FAM41C,family with sequence similarity 41 member C
chr1,861000,863608,2609,*,MACS_peak_3,57.7,Promoter (<=1kb),1,861121,879961,18841,1,148398,uc001abw.1,0,ENSG00000187634,SAMD11,sterile alpha motif domain containing 11
chr1,896208,900028,3821,*,MACS_peak_4,50.07,Promoter (<=1kb),1,896829,897858,1030,1,339451,uc001acb.1,0,ENSG00000187961,KLHL17,kelch like family member 17
chr1,917041,919768,2728,*,MACS_peak_5,160.54,Promoter (<=1kb),1,910579,917473,6895,2,84808,uc001ach.2,0,ENSG00000187642,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1"
chr1,966079,968385,2307,*,MACS_peak_6,223.29,"Intron (uc001ack.2/375790, intron 2 of 35)",1,955503,991499,35997,1,375790,uc001ack.2,10576,ENSG00000188157,AGRN,agrin
chr1,997568,1000246,2679,*,MACS_peak_7,73.48,"Exon (uc001acl.1/uc001acl.1, exon 3 of 4)",1,1007126,1009687,2562,2,401934,uc021oen.1,9441,ENSG00000237330,RNF223,ring finger protein 223
chr1,1004475,1006568,2094,*,MACS_peak_8,81.87,Downstream (<1kb),1,1007126,1009687,2562,2,401934,uc021oen.1,3119,ENSG00000237330,RNF223,ring finger protein 223
chr1,1007134,1010960,3827,*,MACS_peak_9,110.64,Promoter (<=1kb),1,1007126,1009687,2562,2,401934,uc021oen.1,0,ENSG00000237330,RNF223,ring finger protein 223
chr1,1014657,1016072,1416,*,MACS_peak_10,216.19,Downstream (1-2kb),1,1007126,1009687,2562,2,401934,uc021oen.1,-4970,ENSG00000237330,RNF223,ring finger protein 223
chr1,1100118,1101920,1803,*,MACS_peak_12,52.56,Promoter (<=1kb),1,1102484,1102578,95,1,406984,uc001acw.2,-564,ENSG00000207730,MIR200B,microRNA 200b
chr1,1238081,1245723,7643,*,MACS_peak_13,263.24,Promoter (<=1kb),1,1227764,1241309,13546,2,116983,uc001aea.2,0,ENSG00000131584,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
chr1,1262844,1267232,4389,*,MACS_peak_14,62.1,Promoter (<=1kb),1,1266726,1269844,3119,1,83756,uc010nyk.2,0,ENSG00000169962,TAS1R3,taste 1 receptor member 3
chr1,1270233,1272401,2169,*,MACS_peak_15,73.91,3' UTR,1,1270658,1275557,4900,2,1855,uc002quu.3,3156,ENSG00000107404,DVL1,dishevelled segment polarity protein 1
chr1,1338960,1339668,709,*,MACS_peak_16,70.88,"Intron (uc001afo.4/55052, intron 3 of 3)",1,1337276,1342693,5418,2,55052,uc001afo.4,3025,ENSG00000242485,MRPL20,mitochondrial ribosomal protein L20
chr1,1341924,1343598,1675,*,MACS_peak_17,81.32,Promoter (<=1kb),1,1337276,1342693,5418,2,55052,uc001afo.4,0,ENSG00000242485,MRPL20,mitochondrial ribosomal protein L20
chr1,1375135,1378148,3014,*,MACS_peak_18,138.16,3' UTR,1,1370903,1378262,7360,1,64856,uc001afs.3,4232,ENSG00000179403,VWA1,von Willebrand factor A domain containing 1
chr1,1440049,1441408,1360,*,MACS_peak_19,109.58,"Intron (uc021oeq.1/83858, intron 7 of 7)",1,1447523,1470067,22545,1,55210,uc001afz.2,-6115,ENSG00000197785,ATAD3A,"ATPase family, AAA domain containing 3A"
chr1,1446521,1447765,1245,*,MACS_peak_20,67.89,Promoter (<=1kb),1,1447523,1470067,22545,1,55210,uc001afz.2,0,ENSG00000197785,ATAD3A,"ATPase family, AAA domain containing 3A"
chr1,1501531,1503764,2234,*,MACS_peak_21,276.56,"Intron (uc001agd.3/29101, intron 1 of 4)",1,1477053,1510262,33210,2,29101,uc001agd.3,6498,ENSG00000160075,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase"
chr1,1508285,1511511,3227,*,MACS_peak_22,60.63,Promoter (<=1kb),1,1477053,1510262,33210,2,29101,uc001agd.3,0,ENSG00000160075,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase"
chr1,1549584,1552604,3021,*,MACS_peak_23,137.45,Promoter (<=1kb),1,1550795,1554590,3796,1,142678,uc021oet.1,0,ENSG00000197530,MIB2,mindbomb E3 ubiquitin protein ligase 2
chr1,1596296,1597741,1446,*,MACS_peak_24,88.26,3' UTR,1,1592939,1601578,8640,2,728661,uc001ahe.4,3837,ENSG00000189339,SLC35E2B,solute carrier family 35 member E2B
chr1,1753703,1754374,672,*,MACS_peak_25,90.43,"Intron (uc001aif.3/2782, intron 3 of 11)",1,1682671,1711508,28838,2,65220,uc001aie.3,-42195,ENSG00000008130,NADK,NAD kinase
