DEG siMITFvs.siCTRL-SkMel28,,,,,,,,,,,,,,,,,
target_id,ensembl_gene_id,gene_symbol,full_name,biotype,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,estimate,log2fc
ENST00000257527.8,ENSG00000135074,ADAM19,ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197],protein_coding,3.93E-09,8.96E-05,34.65934863,3.099766835,1,9.08132206,0.619953367,0.000156968,0.619796399,0.009594546,0.619796399,1.436975283,2.07311572
ENST00000262888.7,NA,NA,NA,NA,6.22E-09,8.96E-05,33.76531516,5.04661953,1,7.498664368,1.009323906,0.000923761,1.008400145,0.012722338,1.008400145,1.832334028,2.643497437
ENST00000295400.10,ENSG00000163235,TGFA,transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765],protein_coding,5.23E-09,8.96E-05,34.10122905,6.646540373,1,8.649188028,1.329308075,0.000351951,1.328956123,0.010085306,1.328956123,2.101614238,3.031986399
ENST00000326505.3,ENSG00000176597,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]",protein_coding,8.35E-09,8.96E-05,33.19293786,3.17685938,1,7.984939969,0.635371876,0.000580897,0.634790979,0.011331682,0.634790979,1.454569449,2.098498719
ENST00000367608.6,ENSG00000112414,ADGRG6,adhesion G protein-coupled receptor G6 [Source:HGNC Symbol;Acc:HGNC:13841],protein_coding,8.63E-09,8.96E-05,33.12876751,95.24937108,1,3.36865479,19.04987422,0.091601942,18.95827227,0.061740718,18.95827227,7.962106764,11.48688422
ENST00000393078.4,ENSG00000196136,SERPINA3,serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16],protein_coding,4.74E-09,8.96E-05,34.29390937,33.66241069,1,7.03086626,6.732482139,0.01996117,6.712520969,0.014552323,6.712520969,4.729921303,6.823829418
ENST00000533357.4,ENSG00000158887,MPZ,myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225],protein_coding,1.32E-09,8.96E-05,36.78694982,4.776684419,1,10.02938848,0.955336884,6.05E-05,0.955276419,0.009269125,0.955276419,1.783704937,2.573340536
ENST00000219271.3,ENSG00000102996,MMP15,matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161],protein_coding,1.01E-08,9.20E-05,32.81419475,2.95018308,1,9.453322701,0.590036616,9.37E-05,0.589942931,0.009348968,0.589942931,1.400278811,2.020173938
ENST00000243776.10,ENSG00000123989,CHPF,chondroitin polymerizing factor [Source:HGNC Symbol;Acc:HGNC:24291],protein_coding,1.09E-08,9.20E-05,32.67857608,3.678595214,1,9.376281396,0.735719043,0.000186322,0.735532721,0.009387018,0.735532721,1.562928725,2.254828004
ENST00000370053.2,ENSG00000197457,STMN3,stathmin 3 [Source:HGNC Symbol;Acc:HGNC:15926],protein_coding,2.48E-08,0.000155198,31.08043707,2.644443069,1,7.605712874,0.528888614,0.000496452,0.528392162,0.012371278,0.528392162,1.326214209,1.913321376
ENST00000409852.1,ENSG00000163273,NPPC,natriuretic peptide C [Source:HGNC Symbol;Acc:HGNC:7941],protein_coding,2.50E-08,0.000155198,31.05953592,3.850171795,1,6.71279667,0.770034359,0.001314375,0.768719984,0.016050266,0.768719984,1.600753941,2.309398219
ENST00000234198.8,ENSG00000115844,DLX2,distal-less homeobox 2 [Source:HGNC Symbol;Acc:HGNC:2915],protein_coding,4.78E-08,0.000156474,29.80265426,2.114620292,1,7.383122523,0.422924058,0.000752943,0.422171115,0.013130219,0.422171115,1.186744595,1.71210939
ENST00000246914.9,ENSG00000126562,WNK4,WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544],protein_coding,3.84E-08,0.000156474,30.22669217,5.947296844,1,5.976142264,1.189459369,0.004264882,1.185194487,0.019973231,1.185194487,1.988596952,2.868937031
ENST00000341037.8,ENSG00000041982,TNC,tenascin C [Source:HGNC Symbol;Acc:HGNC:5318],protein_coding,4.80E-08,0.000156474,29.7976841,1.708378142,1,11.1459539,0.341675628,0.000152304,0.341523325,0.010154853,0.341523325,1.066705551,1.538929773
ENST00000343200.9,ENSG00000038427,VCAN,versican [Source:HGNC Symbol;Acc:HGNC:2464],protein_coding,4.67E-08,0.000156474,29.84708299,4.580477397,1,6.694852257,0.916095479,0.003638487,0.912456992,0.016140257,0.912456992,1.744120207,2.51623188
ENST00000361725.4,ENSG00000144355,DLX1,distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914],protein_coding,2.96E-08,0.000156474,30.73354376,2.367501278,1,8.430864817,0.473500256,0.000493023,0.473007233,0.010424602,0.473007233,1.253867551,1.808947281
ENST00000392552.6,ENSG00000163328,GPR155,G protein-coupled receptor 155 [Source:HGNC Symbol;Acc:HGNC:22951],protein_coding,4.83E-08,0.000156474,29.78585056,4.29112716,1,7.336021553,0.858225432,0.004688442,0.85353699,0.013304984,0.85353699,1.687954661,2.435202181
ENST00000449182.1,ENSG00000106278,PTPRZ1,"protein tyrosine phosphatase, receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]",protein_coding,3.81E-08,0.000156474,30.24287015,4.266608711,1,6.741053378,0.853321742,0.003248272,0.850073471,0.015909682,0.850073471,1.68433789,2.429984286
ENST00000498398.1,ENSG00000102313,ITIH6,inter-alpha-trypsin inhibitor heavy chain family member 6 [Source:HGNC Symbol;Acc:HGNC:28907],processed_transcript,4.88E-08,0.000156474,29.76482012,14.76121643,1,4.925044677,2.952243285,0.020638496,2.93160479,0.026145587,2.93160479,3.13138146,4.517625464
ENST00000437099.6,ENSG00000007237,GAS7,growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169],protein_coding,5.91E-08,0.000177311,29.39324492,2.202365188,1,10.43012886,0.440473038,0.000114697,0.440358341,0.009424589,0.440358341,1.207711667,1.742358461
ENST00000336596.6,ENSG00000044524,EPHA3,EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387],protein_coding,6.64E-08,0.000187151,29.16743962,1.629053271,1,8.552150907,0.325810654,0.000388715,0.32542194,0.010228145,0.32542194,1.039902838,1.500261658
ENST00000155926.8,ENSG00000071575,TRIB2,tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809],protein_coding,6.93E-08,0.00018959,29.08450932,1.133052994,1,10.15180397,0.226610599,5.29E-05,0.226557679,0.009298146,0.226557679,0.869033496,1.253749471
ENST00000344120.4,ENSG00000187678,SPRY4,sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533],protein_coding,7.77E-08,0.000195302,28.86321982,1.231840878,1,9.945898212,0.246368176,5.11E-05,0.246317083,0.009258568,0.246317083,0.904859679,1.305435694
ENST00000371222.3,ENSG00000177606,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]",protein_coding,1.13E-07,0.000215588,28.13161024,1.542619324,1,7.724022199,0.308523865,0.000412955,0.30811091,0.012013859,0.30811091,1.01213323,1.46019861
