MITF ChIP-seq Colo829,,,,,,,,,,,,,,,,,,
seqnames,start,end,width,strand,V4,V5,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,918948,919452,505,*,MACS_peak_1,89.4,Promoter (1-2kb),1,910579,917473,6895,2,84808,uc001ach.2,-1475,ENSG00000187642,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1"
chr1,1014788,1015293,506,*,MACS_peak_2,98.63,Downstream (1-2kb),1,1007126,1009687,2562,2,401934,uc021oen.1,-5101,ENSG00000237330,RNF223,ring finger protein 223
chr1,1460609,1460908,300,*,MACS_peak_4,80.99,"Exon (uc001afz.2/55210, exon 12 of 16)",1,1447910,1470067,22158,1,55210,uc001agb.2,12699,ENSG00000197785,ATAD3A,"ATPase family, AAA domain containing 3A"
chr1,1502360,1502966,607,*,MACS_peak_5,52.81,"Intron (uc001agd.3/29101, intron 1 of 4)",1,1477053,1510262,33210,2,29101,uc001agd.3,7296,ENSG00000160075,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase"
chr1,1617638,1618198,561,*,MACS_peak_6,54.39,"Intron (uc001ags.1/984, intron 2 of 15)",1,1590988,1624243,33256,2,728661,uc009vkl.2,6045,ENSG00000189339,SLC35E2B,solute carrier family 35 member E2B
chr1,1655644,1656283,640,*,MACS_peak_7,67.44,Promoter (<=1kb),1,1634170,1655791,21622,2,728642,uc009vkr.3,0,ENSG00000008128,CDK11A,cyclin dependent kinase 11A
chr1,1672209,1672837,629,*,MACS_peak_8,84.4,"Intron (uc001ahh.4/728661, intron 1 of 8)",1,1592939,1677438,84500,2,728661,uc001ahh.4,4601,ENSG00000189339,SLC35E2B,solute carrier family 35 member E2B
chr1,1790727,1791032,306,*,MACS_peak_9,52.87,"Intron (uc001aif.3/2782, intron 1 of 11)",1,1716725,1822526,105802,2,2782,uc001aif.3,31494,ENSG00000078369,GNB1,G protein subunit beta 1
chr1,1820916,1821287,372,*,MACS_peak_10,63.51,Promoter (1-2kb),1,1716725,1822526,105802,2,2782,uc001aif.3,1239,ENSG00000078369,GNB1,G protein subunit beta 1
chr1,2163732,2164553,822,*,MACS_peak_11,68.81,"Intron (uc001aja.4/6497, intron 1 of 6)",1,2160134,2241652,81519,1,6497,uc001aja.4,3598,ENSG00000157933,SKI,SKI proto-oncogene
chr1,2171858,2172351,494,*,MACS_peak_12,52.92,"Intron (uc001aja.4/6497, intron 1 of 6)",1,2160134,2241652,81519,1,6497,uc001aja.4,11724,ENSG00000157933,SKI,SKI proto-oncogene
chr1,2319432,2319866,435,*,MACS_peak_13,97.54,5' UTR,1,2252696,2322993,70298,2,79906,uc001ajb.1,3127,ENSG00000116151,MORN1,MORN repeat containing 1
chr1,2487031,2487791,761,*,MACS_peak_14,251.98,Promoter (<=1kb),1,2487805,2490438,2634,1,8764,uc010nzc.1,-14,ENSG00000157873,TNFRSF14,TNF receptor superfamily member 14
chr1,3387027,3387577,551,*,MACS_peak_15,51.55,Promoter (<=1kb),1,3388171,3391021,2851,1,27237,uc009vli.1,-594,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16
chr1,3816545,3817211,667,*,MACS_peak_16,60.29,Promoter (<=1kb),1,3816968,3832011,15044,1,100133612,uc001alg.3,0,ENSG00000236423,LINC01134,long intergenic non-protein coding RNA 1134
chr1,5975687,5976216,530,*,MACS_peak_18,100.35,"Intron (uc001alq.2/261734, intron 11 of 29)",1,5946555,5965543,18989,2,261734,uc009vlu.2,-10144,ENSG00000131697,NPHP4,nephrocystin 4
